Formality,Informativeness,Sentence
5,5,"Dr Matthew Hickman, reader in public health and epidemiology at the University of Bristol, said: 'The decision will be made on Monday.'"
5,5,"Dr Polly Taylor, a freelance consultant in veterinary anaesthesia, said: 'I'm aware of what has happened and I fully support David Nutt. I've still not come to a decision on what is the best course of action. I imagine we will take group action.'"
6,6,"Dr Sunita Shastri, considered an authority on the epic and advisor to Geeta Press, claimed to have accessed the controversial edition for two hours."
4,4,Drug Arm counsellor Richard Norman said it was no surprise that cocaine is becoming more accepted in the suburbs.
4,4,Drugs charities were also critical.
6,6,Ductal carcinoma in situ accounts for 20% of the diagnoses made through screening.
4,4,"During the 1970s, when Iraqis enjoyed a flood of oil money, customers flocked to him to supply elaborate gardens, buying plants imported from Jordan and Syria, Mr. Abbas said."
5,5,"During the man-made satellite project, when everyone else was not sure that the satellite would work perfectly in space given the limited testing facilities, Qian researched piles of documents and papers and wrote, ""In my opinion, the satellite is done."""
2,2,"During the worst years, he said, it was difficult to buy plants, so the family used clippings to fill out the garden."
6,6,"Earlier in the day, a top aide to Abbas, Saeb Erekat, told The Associated Press that Abbas rejected Clinton's request that he allow Israel's government to complete building 3,000 units in Jewish settlements in the West Bank, and to allow the government to construct public buildings and continue construction in east Jerusalem - a territory Palestinians hope will be their future capital."
5,5,"""Earlier,"" said one villager, ""we used to fear the tigers and wild boars. Now we fear the guns of the Naxalites and the police."""
4,4,"Earlier, the IEC announced that it planned to open 6,322 polling stations for the run-off - more than it did during the first round."
6,6,"Earlier this year, the Obama administration called for the Israelis to halt building more housing on land the Palestinians regard as theirs."
5,5,"Early indications were that the injured had spinal injuries, broken legs, ankles, a possible dislocated shoulder, trauma and cuts."
5,5,"Economic growth in China accelerated to 8.9 percent last quarter, fueled by government stimulus spending and more than $1 trillion of new bank lending."
5,5,"Economies across Asia are ""rebounding fast"" from the global crisis, helped by fiscal support that the region's governments must maintain amid weak global export demand, the International Monetary Fund said on Oct. 29."
4,4,"Eddie House, who came off the bench and scored 22 points on 9-of-13 shooting, drilled four of his seven threes in the second."
4,4,"""Eddie's a great shooter,"" said Marquis Daniels, who finished with four assists and scored all 7 of his points in that second quarter."
5,5,"Ed Hubbard, co-founder and CEO of the Witch School, said he underestimated the difficulty faced by the school when it relocated to Rossville, about 125 miles south of Chicago near the Indiana border."
2,2,Effendi laughed as he recalled having to tell his teacher that he lost his homework in the river.
5,5,"Efforts are under way to open peace negotiations, but as yet remain stalemated."
2,2,"""Either we are sitting here, or we are on patrol. There is nothing else."""
4,4,Elders in the coastal area said the pirates might have been worried that they were vulnerable to attack if they continued to keep the Chandlers aboard the hijacked freighter bobbing off Xarardheere.
4,4,"Emanuel continues to believe that oceans in a warming world will produce stronger storms, because the trend over the last 30 years in the Western North Pacific and Atlantic basins is upward."
5,5,Emanuel said the Western North Pacific and Atlantic hurricane basins have the best data on storms during the last 30 years because they include aircraft data.
6,6,"Employers in the U.S. kept cutting jobs in October and manufacturing picked up, pointing to an uneven economic recovery that will take time to encourage hiring, economists said before reports this week."
4,4,Endorsements were cited repeatedly by backers of former city attorney Gene Locke.
5,5,"English teacher Jessica Price, who knows the victim and most of the arrested suspects, said the girl has helped in conflict-mediation groups."
5,5,Entrance to their salmon-colored building is via a high-security electric gate.
4,4,"Environmentalists warn once it takes hold, it becomes a losing battle to reverse landslides and degradation."
5,5,Environment Commissioner Ebgebike says funding is critical and appeals for international help to deal with the situation.
6,6,Erekat said Clinton had told Abbas that the settlements were not legitimate but said the United States was unable to persuade Netanyahu's government to commit to an outright freeze.
5,5,"Erekat said that Abbas wants negotiations to pick up where they left off with former Prime Minister Ehud Olmert, and that the Israelis do not."
5,5,Essentially the ACE Index approximates the total energy of a storm from its intensity and duration.
5,5,"Evan Harris, another Liberal Democrat member of the science and technology select committee, said: ""The political sacking of a distinguished scientist, who is the chair of an independent scientific advisory committee, for the 'crime' of having different views than the secretary of state, is an enormous blow to the credibility of the government's approach to scientific evidence."""
5,5,"Even as drought kills off Yemen's crops, farmers in villages like this one are turning increasingly to a thirsty plant called qat, the leaves of which are chewed every day by most Yemeni men (and some women) for their mild narcotic effect."
5,5,"Even during the high periods of sectarian violence, he said, he and his family entertained guests in the garden."
4,4,"""Even if only a few simple words, it would show we have the courage to talk about it and not avoid the facts."""
3,3,"""Even if they had a 100 percent yes vote at the rest of the plants, it still wouldn't pass."""
5,5,"Even in parts of Sana, the poor cluster to gather runoff from privately owned local wells as their wealthier neighbors pay the equivalent of $10 for a 3,000 liter-truckload of water."
4,4,Even the neighborhood ex-cons who lounge against their cars all afternoon at the back end of campus are outraged.
6,6,"Even though they have never met, she considers a woman from Michigan a second mother and a woman in Arizona to be her online protector - searching out leads as well as scam artists."
4,4,"Eventually, at 5pm yesterday, a spokesman for Mr Blair issued a carefully worded statement that said: 'Tesco is a great British company."
4,4,"Eventually, more schools were built, cutting travel times."
5,5,Even wastewater treatment has proved difficult in Yemen.
2,2,"Even when car bombs were exploding in the neighborhood, his mother insisted on watering the garden daily."
3,3,"Even when the new bridge is finished, Fandi said, he isn't sure he wants to give up his daily row."
3,3,"Ever since his arrest, Rhonnie has struggled with what to say to the boy she has grown up with."
4,4,"""Every day, I wake up and think, am I going to hear her voice today,"" Hebert said."
4,4,"Every editor has the right to carry out his job as per his understanding unhindered by extraneous pressure, he told TOI."
3,3,"Every Halloween we line up at haunted houses so that zombies, vampires and various other undead can scare us out of our wits."
5,5,"Everywhere shoppers turn in the Raynham store, they are reminded of value with big new signs emblazoned with ""Unbeatable Prices."""
4,4,"""Every year we have to drill deeper and deeper to get water."""
5,5,Exemptions for political leaders and a delayed start date of 2011 were among the many compromises forged during the most heated political fight of the year in Springfield.
5,5,Exiled Tibetan spiritual leader the Dalai Lama has criticized Chinese leaders for misleading the world about the situation in Tibet.
4,4,Experience ranked high among those who favored City Controller Annise Parker.
6,6,"Experts claim his collection has more cars with a price in excess of $1 million than any other, and that if the entire inventory was put up for auction it would depress the market by at least 40 percent."
6,6,"""Exports are still on the decline, but Korea will see an increase in coming months,"" said Lee Sang Jae, an economist at Hyundai Securities Co. in Seoul."
5,5,"Exports to China, the biggest buyer of South Korean goods, gained 3.4 percent in the first 20 days of October."
6,6,"Exports to the U.S. slid 37.4 percent, the ministry said."
5,5,"Exports, which make up more than half of the economy, may start to rebound in November, the government said last month."
5,5,"""External demand will provide an additional source of support for growth in the months ahead,"" he said, adding that the government may ""start tightening policy from early 2010."""
1,1,EXTRA!
4,4,"Factory production gained at the fastest pace in three months in September, manufacturers' confidence stayed near a two-year high and consumer confidence climbed to a seven-year high, earlier reports showed."
3,3,Families of the missing said they were grateful rescuers weren't giving up.
4,4,"Fandi and Alfan, brothers with one name each, live in a remote village in the heart of the Sumatran jungle, at once a protected and dangerous place to be a child."
4,4,Farmers depended mostly on rainwater collection and shallow wells.
6,6,"Federal health officials said 33 people had died of the flu across the country, although there was conflicting information about which type of the virus was to blame."
7,7,"Federal Reserve policy makers, meeting this week, will probably debate whether the lack of jobs merits maintaining interest rates low for a long time, or if excess stimulus risks kindling inflation."
4,4,"Fed policy makers, led by Chairman Ben S. Bernanke, meet Nov. 3-4 in Washington and may repeat their pledge to keep interest rates low for an ""extended period."""
4,4,"Few could feel the urgency as much as 14-year-old Rhonnie Schwartz, a Richmond High freshman."
4,4,"Few were aware of the bickering that has marked the race in recent days, particularly accusations traded between Locke and Brown supporters over how they have courted African-American voters."
5,5,Figures from the 2007 National Drug Strategy Household Survey showed that cocaine use doubled between 2004 and 2007 and the new CMC figures look set to reveal further rises.
5,5,Figures released last week show that children under the age of 15 account for a fifth of all swine flu hospital admissions.
5,5,"Finally a search of the land around the house turned up yet another grave, containing a sixth body."
5,5,"Finance Minister Yoon Jeung Hyun said full-year economic growth is possible in 2009, compared with a previous government forecast of a 1.5 percent contraction."
6,6,"Financial markets are pricing in a steady increase in the cash rate, currently 3.25 per cent, to around 4.50 per cent by next June, and onwards to between 5 and 5.5 per cent by December, 2010."
5,5,"Fiona Fox, director of the Science Media Centre, called for independent scientific advisers ""to be allowed to communicate their evidence and findings to the media and the public as far away from the political process as humanly possible."""
5,5,"First-home buyers, lured by government stimulus but caught by rising rates, pay freezes and reduced working hours, are predicted to account for nearly half the default increase."
5,5,"""First-home buyers will be particularly hard hit because so many were caught up in the hype of the stimulus and talk of a rapidly rising market and didn't give enough thought to how they would cope with rising rates,"" he says."
5,5,Fishing should be avoided anywhere there is a visible sheen.
6,6,"Fitzgerald said the United States imposed the travel curbs, and is considering the financial sanctions, to show that impunity in unacceptable in Guinea and elsewhere."
6,6,"Fitzgerald was sent to the Guinean capital days after what he described as the ""massacre"" of opposition demonstrators to express U.S. outrage over the killings and reported sexual assaults by troops, and to demand that Captain Camara adhere to a pledge made early this year to step down in favor of an elected government."
6,6,"Five different burial methods were used on the victims, and the bodies were in varying states of decomposition, Miller said, making it difficult to determine the ages of the victims."
7,7,"Five female victims were found inside the home, and another female body was discovered outside the home, said Cuyahoga County Coroner Frank Miller III."
5,5,"Flanking it were bushes shaped like corkscrews, flowers and straw baskets, which he said took him four or five months to create using wire frames to form the shapes."
6,6,"Flights at Manila's international airport were canceled and about 8,000 ferry passengers were stranded as the coast guard grounded all vessels."
4,4,"Following decisions to reject its advice on cannabis and ecstasy, there have been questions about its purpose."
4,4,"For all the sensitivity training going on, this is still a rough city - and there is rough justice."
4,4,"""For a lot of people in politics, if they aren't in public office they don't think they're anything,"" Burton said."
5,5,"Ford fell 30 cents, or 4.1 percent, to $7 on Oct. 30 in New York Stock Exchange composite trading."
5,5,"Ford has said it needs the concessions to ensure that it doesn't have a labor-cost disadvantage against GM and Chrysler, which unloaded debt, closed plants and eliminated dealership contracts in their court restructurings."
5,5,"Ford may punish the UAW by making promised products in Canada or Mexico instead of the U.S., said David Cole, chairman of the Center for Automotive Research in Ann Arbor, Michigan."
5,5,"Ford Motor Co. hourly employees have rejected contract concessions the automaker said it needed to remain competitive with its U.S. rivals, said two people familiar with the outcome of the voting."
6,6,"Ford, the only major U.S. automaker to avoid bankruptcy this year, sought concessions similar to those secured by General Motors Co. and Chrysler Group LLC."
4,4,"Foreign Office head of news Carl Newns also rejected it, telling Mr Brown he wanted to stay with current boss David Miliband."
4,4,"Forest children, they say, must grow up fast."
5,5,"For example, a Massachusetts family of three earning $45,775 a year can purchase subsidized insurance through the Commonwealth Care program for $154 a month."
3,3,"For example, he recently floated the idea of a tax on sugary drinks, but hasn't submitted legislation - though he's likely to now."
6,6,"For example, he said tax justice groups criticize the state for not obtaining companies' beneficial ownership information when they incorporate in the state."
5,5,"For example, he wonders whether the officials who submitted the winning bid to host the 2008 Games had been sincere in their representations during the bidding process that China would improve its human rights situation."
5,5,"For Falah Mohammed, standing beneath a massive topiary arch by his driveway, the improved security in Baghdad has brought its own problem: he cannot find a gardener with enough time to take care of his trees."
5,5,"For India, the widening Maoist insurgency is a moment of reckoning for the country's democracy and has ignited a sharp debate about where it has failed."
5,5,"For its part, the Coast Guard and coordinating agencies said they responded with ""surgical"" precision, limiting the oil impact to about 6 miles of shoreline."
5,5,"For Mazen Hammad, who works for the Ministry of Health, his garden was a refuge from the violence."
4,4,Former leading East German dissident Baerbel Bohley said Germany cannot afford to halt the project.
4,4,"For millenniums, Yemen preserved traditions of careful water use."
6,6,"""For that reason transparency is very essential. That is lacking in all these authoritarian governments. Particularly in the People's Republic of China."""
4,4,"For the first time in almost two months, the Fighting Irish could relax in the fourth quarter."
6,6,"For the first time, the bank will announce its latest decision on rates on Melbourne Cup day at 2.30pm - half an hour before the race on which Australians bet more than $100 million each year, The Sunday Telegraph reports."
4,4,"For them, the Kampar River is their local street corner, a place where they play and test themselves, becoming excellent swimmers."
5,5,"For the North Atlantic basin this season, the ACE Index is 45 percent of its normal level, the weakest season since 1997."
4,4,"For the smallest boys who must negotiate the river each day, the snake was like a monster from the deep."
6,6,"For watchdogs of the bay's ecosystem and wildlife, the incident brought back memories of the disastrous 2007 Cosco Busan incident, which dumped nearly 60,000 gallons of bunker fuel, killing thousands of birds and fouling sensitive shorelines."
5,5,"For years, the central government regarded them as mostly a nuisance."
4,4,"Four others were missing in floodwaters in other towns, regional police chief Perfecto Palad said."
5,5,Four other Uighurs were moved to Bermuda in June.
3,3,"Four other voters said they put a premium on Parker's financial chops, especially given the challenges the city may face in the next year."
3,3,"""Freee mah nigga ... F- dem snitches,"" reads one of the more prominent comments posted by a friend."
5,5,"Freeman, 33, did intelligence work for the Air Force and later helped U.S. Rep. John Culberson on veterans issues."
3,3,Friend and personal attorney Dale Jefferson went to a couple of auctions with him and marveled at the joy he showed when the cars started rolling across the block.
3,3,Friends said it was usual for him to work late into the night.
4,4,"From here, the Maoists recruited and trained disgruntled tribal villagers and slowly spread out."
5,5,"From the first moments he arrived in Washington on the day after his Sept. 24 appointment, Kirk has remained deferential to his former boss."
3,3,"From there, he went to Kennedy's former office with its expansive view of the Capitol, to prepare for the move to his own more modest digs on the first floor."
4,4,"From the top of the key and from the wing, Pierce let the 3-pointers fly, drilling all five he took in the third quarter."
6,6,"Fueled by street-macho bravado and inspired by sexual initiations required to get into some local gangs, they began the attack, investigators say."
4,4,"Further complicating the picture, the current Massachusetts waiver expires in 2011, two years before much of the new federal law would take effect, so it would have to be renegotiated during an awkward interim period."
6,6,"Gardens remain one of the few flourishes of public ornament on Baghdad's otherwise brown streets, defiant displays of foliage amid concrete blast walls and security checkpoints."
6,6,"Geithner told NBC's ""Meet the Press"" that bringing back jobs and the confidence of investors will be the real test of recovery."
4,4,"General Administration spokesman Steve Valandra said that by allowing the displays outside, the state is simply trying to accommodate free speech while maintaining some decorum."
6,6,General Jones's office declined to say whether Ashcroft was present at Hague's meeting.
4,4,"Generally on the soapy ""Gossip Girl,"" the teens are hard to classify in moral terms, as each seems to pass in and out of good and bad behavior in every episode."
5,5,"Generally speaking, all of the congressional proposals follow the broad outlines of the Massachusetts system - people who don't get insurance through work could turn to an ""exchange,"" modeled on the Massachusetts Connector, to buy coverage; depending on income, they could qualify for government-subsidized insurance."
5,5,"Generationally, Sally Draper will grow up to be a baby boomer."
5,5,"George Osborne, the shadow chancellor, laid out a detailed ""austerity package"" at the Conservative conference last month with £23 billion of cuts to Whitehall spending, quangos and public sector pay."
5,5,"George Ranney, co-chairman for the reform coalition CHANGE Illinois!, told lawmakers his group agreed to support the new proposal as a ""building block"" for future changes."
5,5,GORDON BROWN is planning a final public spending spree to help pull the economy out of recession and put pressure on the Conservatives over their plans for deep cuts.
5,5,Gordon Brown is secretly backing David Miliband to be the European Union's foreign affairs chief - clearing the way for one of his protégés to be Labour's next leader.
5,5,Government advisers are preparing for the mass vaccination of schoolchildren to stop the spread of swine flu.
5,5,"Grant was appointed to the seat early this year after the death of her father, Bill Grant, a longtime legislator and a key member of the House Democrats' leadership team."
4,4,"Growth in Asia including Japan, Australia and New Zealand will probably accelerate to 5.8 percent next year from 2.8 percent this year, it said."
4,4,Guest Alan Rorke said it was a mad rush to help all the injured.
5,5,Hague made him party treasurer and secured him a life peerage in 2000.
5,5,Hague's visit to Washington last month was described in one Tory-supporting newspaper as the most comprehensive US visit by a shadow foreign secretary since Labour came to power in 1997.
5,5,Hamas' control over Gaza is another main stumbling block to peace efforts.
4,4,Hamas has long preached that Abbas' moderation doesn't pay and that only armed struggle will produce a Palestinian state.
6,6,"Hamas spokesman Sami Abu Zuhri said the U.S. could not effectively engage in peacemaking while ignoring Hamas, and said Clinton's visit was ""destined to fail."""
5,5,Hastings noted Chaudhry's disability from his military service as well as his service as a volunteer firefighter in Yakima and volunteer work with the Red Cross youth program.
7,7,"Having invested considerable capital in seeking a solution for Palestinians and Israelis as part of a broader thrust to help stabilize the oil-rich Middle East, Obama faces an early setback in his presidency if the two sides refuse even to talk."
6,6,"He added: ""One has to ask the question: who would wish to chair the council at this point, given the quite blatant political interference it has to deal with?"""
6,6,He added that the states of the bodies made it hard to tell how long they had lain in the makeshift graves.
6,6,"Heading the campaign against him is the high profile Mahant Gyandas, head of All India Akhada Parishad and the president of Ram Janmabhoomi Nyas, Nritya Gopal Das."
3,3,Head to the back of the Wal-Mart Supercenter in Raynham and you may be in for a surprise.
4,4,He alerted U.S. immigration authorities after learning otherwise years later.
6,6,He also alleged that documents were withheld from the board of inquiry and the inquest to cover up the way in which airworthiness regulations were ignored.
2,2,"He also has a problem ""collecting people,"" as they say in politics - doing favors and developing the personal touch with big donors."
5,5,He also has been working on a variety of constituent issues that had accumulated since before Kennedy's death on Aug. 25.
4,4,He also once owned two Chinese restaurants in the district.
5,5,He also played a significant role in developing the country's first artificial earth satellite.
5,5,"He also said Democrats will take the sidelining of Scozzafava as a positive trend for the long-term, believing that the Republican Party will conservatize itself to death demographically."
4,4,He also said Illinois must be aggressive in promoting its businesses and products in emerging markets such as Africa.
5,5,He also said the two sides released a joint declaration and signed a number of cooperation agreements.
3,3,"He also wanted to beat his time from last year's race, about 24 minutes."
4,4,He also was permitted to visit with Aung San Suu Kyi.
5,5,"He also writes of fears during the 2000 Sydney Olympics that Chinese athletes (no names here) would be disqualified for doping, and of a women's volleyball coach arranging for the Chinese team to lose a match in the 2002 world championships to avoid facing a tougher opponent."
5,5,"He amassed a collection that numbers more than 800 vehicles, from the overtly silly Batmobile to a Rolls-Royce Silver Shadow once owned by a maharaja."
5,5,He arrived in the U.S. on a tourist visa in 1998 and planned a life in the U.S. military when he joined in March 2001.
5,5,He believes in spreading the gospel of his faith -- an evangelical tenet that rubbed some Christians in Rossville the wrong way.
4,4,"Hebert called police, lawyers and detectives, she recalled, and to this day is on a first-name basis with them."
4,4,Hebert had temporary custody of Bianca.
5,5,"Hebert posted hundreds of posters in stores, gasoline stations and offices."
5,5,"Hebert said she hasn't lost hope of a reunion, but knows Bianca could have another life or been raised to hate her."
2,2,Hebert sometimes wakes up in the early morning hours and gets busy.
5,5,"Hebert was getting her hair cut on Christmas Eve when she learned beautician Emma Moreno was from Mexico, as was Hebert's ex-husband, who was from Monterrey."
2,2,He bought and bought and never stopped.
2,2,He called his biggest grab luck.
4,4,"He called on the government to put ""more effort"" into finding out whether there is a link to terrorism."
4,4,"He characterized the process as ""stuck"" because of what he said was Netanyahu's lack of desire to restart negotiations."
5,5,"He continued in that role under the Karzai government that was formed after the fall of the Taliban, leaving the government in 2006."
4,4,He currently is in his second term.
5,5,"He decided to run the five kilometers for five fellow Marines whose lives either had intersected with his, or whose sacrifice he learned about later."
4,4,"He declined to say whether the recession is over, saying economists will figure that out years from now."
4,4,He did not know the status of the airspace at the time.
4,4,He did not know the status of the airspace at the time of the crash.
3,3,"""He didn't pay what we thought the market value was worth on a particular car. If he wanted it, he bought it."""
5,5,"He does not regard building in occupied East Jerusalem, annexed in defiance of international complaint, as settlement."
3,3,"He doesn't want to have to be either ""the jock"" or ""the geek""; he wants enough freedom from dated cultural definitions to be both, and more."
3,3,"He earlier went on a 16-yard touchdown run that began with him running smack into two linebackers before spinning around, leaving the would-be tacklers colliding and grasping for air as Tate dashed to the end zone."
5,5,"Heeding those words, the 36-year-old Pakistani immigrant living in Yakima joined the Army National Guard and was sent to active duty at Fort Lewis and Fort Irwin in Southern California."
6,6,He first began to wield influence over the Tories between 1998 and 2001 when he donated several million pounds to the party.
4,4,He found him again midway through the quarter for a 26-footer that made it 72-42.
4,4,"He found Pierce, who hit a 25-footer that made it 53-35 early in the third."
5,5,"He gave his first floor speech last week, outlining his support for a government-run plan to compete with private insurance companies under the health care overhaul."
3,3,"""He got into a groove, he operated well,"" Baldwin said of Nichols."
4,4,He had already hired people to compile archival research on cars and to take oral histories from important automotive figures.
4,4,"He had been quiet in the first half, taking just five shots and missing four, but for the second straight game, he came up huge after the break."
5,5,He had been working for the Comprehensive Nuclear-Test-Ban Treaty Organisation (CTBTO) at the UN building.
4,4,He had even scouted potential sites.
3,3,He had even spent time online researching their positions.
5,5,He had met the families of two of the Marines while serving in an official family-support role for Echo Company 4th Reconnaissance Battalion in Joliet.
5,5,He has authored 80 books mainly commentaries on religious texts - eighth among the lot on Upnishads.
5,5,He has contracts with several banking institutions to provide advice and peddles his experience to foreign governments through Tony Blair Associates.
4,4,"He has led peasants and squatters in claims for vast chunks of countryside, disputes that have on occasion turned violent."
6,6,"He has merely edited, not altered 'Ramcharitmanas' published by Geata Press, Gorakhpur, on the basis of much older editions printed by Venkatesh Press in 1900 or Khemraj Prakashan 1800, Manas Piyush Siddhant Tilak to name a few among the assorted 50 different editions he had consulted."
6,6,"He has the support of neighbors, military veterans, his church, members of Congress and even a former immigration adjudicator, totaling 28 letters requesting immigration authorities to allow him to stay in the country."
4,4,He has yet to announce whether will decide to run for a sixth term in the next presidential election in 2011.
5,5,"He is a board member of the Independence Heights Redevelopment Council and a founding member of Change Corps, a service organization."
6,6,He is chairman of the Sharpstown Tax Increment Reinvestment Zone and Redevelopment Authority.
6,6,"He is declining campaign donations and focusing on a simple platform of lower taxes, smaller government and no red-light cameras."
5,5,He is expected to sign this month.
5,5,"""He is the first prime minister... that has ever in the history of the Misuse of Drugs Act gone against the advice of its scientific panel,"" he said."
3,3,"""He just kept finding me,"" Pierce said."
3,3,He knows that has its place.
5,5,"""He made more impact in six years than anybody had ever made in such a short time in the collector car business. And possibly more impact than anyone who collected over 20 years."""
5,5,"He mentioned Typhoon Morakot, which lashed Taiwan with 80 inches of rainfall in August, and Typhoon Ketsana, which in September brought some of the worst rains ever recorded to Manila in the Philippines."
3,3,He never arrived.
4,4,"He never returned, and neither did their daughter."
4,4,"He noted, however, that he's seeing encouraging signs."
4,4,He now has 18 touchdowns on the season to just two interceptions.
4,4,"He paid about $1,450 in fines and restitution and says Australian police promised that the convictions wouldn't go on his record."
3,3,He planned to build a museum to display them that he claimed would be the greatest in the world.
6,6,"He predicted the museum would be completed by 2010, and he acknowledged he was far from finished buying more cars."
5,5,He rarely leaves his home.
4,4,Her comments appeared to represent a significant departure in tone from her previous statements demanding a total Israeli settlement freeze without exception.
6,6,"Her cousin is Cody Ray Smith of San Pablo, who at 15 is the youngest of the four defendants charged in the gang rape so far."
4,4,"Here, about 50 flat-screen televisions hang from the wall, a 60 percent increase in recent months."
4,4,He recalled that Giannopoulos was handpicked to take courses on military tactics that he passed on to his men.
6,6,"He received a standing ovation at his first caucus luncheon, has renewed old friendships among Republicans, and drawn support from senior Democrats, including Senators Dick Durbin of Illinois and Christopher Dodd of Connecticut, during his first floor speech last week."
5,5,He refused to comment further.
4,4,"Here in the state of Chattisgarh, Maoists dominate thousands of square miles of territory and have pushed into neighboring states of Orissa, Bihar, Jharkhand and Maharashtra, part of a so-called Red Corridor stretching across central and eastern India."
5,5,"Here on the vast Kampar peninsula, a land carpeted with dense forests and veined by unpredictable rivers, many isolated communities without their own schools or road access must send children such as Fandi and Alfan out onto the busy river highway."
4,4,He returned this year with greater purpose.
4,4,He returned to the mainland after the new China was founded.
6,6,"""Her face was purple and blue and she wasn't moving when they finished and ran,"" said Eraclio Lopez, 23, who lives nearby and ran over when the police cars rolled up."
6,6,Her house arrest was extended by an additional 18 months in August for allowing an uninvited American man to stay at her home without official permission.
5,5,"Her lawyer, Nyan Win, who also is a spokesman for the opposition National League for Democracy, told reporters Saturday that the U.S. embassy in Rangoon is making arrangements with the party for the meeting."
5,5,He said Beijing was fooling the world into thinking the situation between the Tibetan people and the Chinese had improved.
3,3,He said he'd be surprised to see him run for a lower state office.
5,5,"He said he had been consistently warning Pakistan against meddling in India's affairs but if they continued to do so, ""we will deal with them strongly""."
5,5,He said he had not approached members of the council - who include police officers and social services professionals as well as medical experts - but about a third had already contacted him.
5,5,"He said he has been warning Pakistan not to play with India and that the Mumbai attacks should be the ""last game""."
4,4,"He said he is honored to find himself a member of Washington's exclusive club of 100, after working for decades in support roles as a Kennedy aide and top Democratic Party official."
4,4,"He said he simply intends to follow in Kennedy's footsteps, using his quiet skills to help bring health care reform to the nation."
3,3,"He said he would be, and that reporters ""would have a political story Sunday."""
4,4,He said: 'I'd be surprised if the advisory council is operational by Christmas.'
5,5,He said: 'Independent advisers should be free to give advice but they should not express it in such a highly public way on an issue of such sensitivity.
4,4,"He said it currently costs $350 for a gram of cocaine as opposed to ecstasy, which costs about $40 a tablet."
4,4,"He said it if Captain Camara stood for election in January, it would be difficult to see how such a vote could be credible or bring normalization of ties between Guinea, its neighbors, and the international community."
5,5,"He said Smith's decision to reclassify cannabis meant she had fallen victim to a ""skunk scare"", and in another dig at the government claimed that advocates of downgrading ecstasy from class A to class B had ""won the intellectual argument""."
4,4,He said Sowell was known for borrowing money and looking for scrap metal to sell.
5,5,"He said that two years before two Sea Kings collided off Iraq in 2003, killing six Royal Navy officers and one American serviceman, he issued warnings about the risks."
3,3,He said the council needs to discuss how to raise or set aside money to fix roads and drainage.
6,6,He said the draft amendment to the Electoral Law would be submitted to a bimonthly session in December and a NPC plenary session in March next year for a second and third reading.
5,5,"He said the United States is working with others in support of the early convening of a U.N. commission of inquiry on the September 28 attack, and backing African mediation led by Burkina Faso President Blasé Compaore aimed at moving Guinea to civilian rule through elections."
5,5,He said they had done so by censoring anyone who questioned them.
4,4,He said: 'Tim was rather introverted. He changed his life many times.'
3,3,"He said: 'When Gordon Brown says that cannabis is a ""lethal drug"", when it clearly isn't, young people are not going to pay him any notice. You don't reduce drug harm by lying.'"
4,4,"He says his honesty is costing him his dream of living in this country with his wife Ann, a U.S. citizen."
4,4,"""He's been a model citizen. He was willing to die for his country in the service and this is how he's getting repaid?"" Theriot-Orr said."
5,5,"""He's been just extraordinarily well received by colleagues."""
3,3,"He ""seems to have support across a number of constituencies. And I like his views on city planning,"" Yeoman said."
6,6,He's filed a complaint in U.S. District Court in Yakima seeking citizenship based on his military service and good conduct while living here.
5,5,"He sneaked back into the country Sept. 21 and took refuge in the Brazilian Embassy in Tegucigalpa, where he has remained, the compound surrounded by Honduran troops."
5,5,"""He's not coming back,"" she recalled telling her mother."
5,5,"He started with two former Treasury officials, Press secretary Mike Ellam and chief of staff Tom Scholar."
4,4,"""He's used the mayor's office to advance policies that have affected the world beyond San Francisco, and he's going to continue to do that,"" Ballard said."
4,4,"""He's won on both counts."""
5,5,He then hinted the team that they should take into account the high-frequency vibration when the engine was running.
4,4,"He then made his way to Mexico City and boarded a plane to London, England."
6,6,"He then worked on nuclear test-ban projects before joining the UN in 1998, said the CTBTO."
5,5,"He told a television interviewer Friday that ""it is not a certainty"" that Zelaya will be reinstated."
4,4,"He told The Mail on Sunday: 'I'm sure my children have tried drugs. In fact, some have told me they have."
4,4,He told them he would be night-flying the following evening.
4,4,"He told the police, for example, that he could provide proof of citizenship; Chaudhry said he only meant to show he was in the U.S. legally."
2,2,"""He walks around and picks up scrap metal and takes it to junkyards to make a few pennies."""
5,5,"""He walks around and picks up scrap metal and takes it to junk yards to make a few pennies,"" said police spokesman Lt Thomas Stacho."
5,5,He was a disruptive student who once threw a flaming ball of paper at a teacher.
5,5,"""He was a 'people's scientist' with firm political belief and pure moralities,"" researcher Yu Jingyuan said."
5,5,"""He was a true science leader and master with brilliant scientific and philosophic thinking."""
3,3,"""He was crazy,"" she said from her porch Saturday."
2,2,"""He was flying, just like he liked to,"" she said."
5,5,He was honorably discharged in May 2006.
5,5,He was intrigued by one tract near downtown and one closer to the Museum District.
3,3,"""He wasn't mechanically inclined, so we were particularly proud of him, because he had to master an awful lot,"" said David Leigh, who lives in Belgrade."
3,3,He was right.
6,6,He was sacked as sports minister at the end of 2004 in the midst of an audit into his financial dealings -- perhaps one reason for a streak of animus that runs through the book -- and replaced by a Communist Party apparatchik with no sporting experience.
5,5,"He was taken into custody Friday in Atlanta, Georgia, and was extradited to Arizona on Saturday, police said."
4,4,"He was treated like a rock star at his town hall meetings, but despised the long hours of fundraising phone calls."
