Formality,Sentence
5,"China's keystone space scientist Qian Xuesen, widely acclaimed as the country's ""father of space technology"" and ""king of rocketry"", died of illness here Saturday morning at the age of 98."
5,"China's legal institutions have carried out fair and open trials and brought only the culprits of the criminal activities to justice, he said."
5,China's manufacturing expanded at the fastest pace in 18 months and a government researcher said economic growth will accelerate this quarter.
6,"""China's recovery has been impressive, but has been heavily reliant on government-directed investment,"" said Brian Jackson, Hong Kong-based strategist for emerging markets at Royal Bank of Canada."
5,"China's top legislature closed Saturday its five-day bimonthly meeting, adopted a law on diplomatic personnel and appointed a new minister of education."
5,"China will impose five-year anti-dumping tariffs, ranging from 5 percent to 35.4 percent, on imports of adipic acid from the United States, the European Union and the Republic of Korea, the Ministry of Commerce (MOC) said on Sunday."
5,"China will sustain its economic rebound this quarter and growth is likely to top the government's 8 percent target for 2009, the central bank said Oct. 30."
6,Chinese Vice Premier Li Keqiang said here Saturday that China and Australia can lift their bilateral relationship to a new level through a strengthened dialogue and increased cooperation between the two trading partners.
4,"Chipotle is doing their yearly ""wrap your head in tinfoil and get a free burrito"" promotion."
2,"Choose from many options at ""things to do.com"" or more specifically: thingstodo.com/states/NY/hudson_valley.htm"
5,Chow retired after 30 years working in the Houston planning department.
5,"Christopher Scott Corben, 30, was arrested an hour later by officers from The Rocks and charged with the woman's sexual assault."
5,"Chris Wallace, the host of ""Fox News Sunday,"" sits down with Rush Limbaugh, the conservative radio talk show host, who is one of Democrats' most colorful critics."
5,"Chuck is the Mr. Darcy in the sophisticated Manhattan world of ""Gossip Girl,"" but he has a decidedly contemporary comfort level when it comes to sexual vagueness."
6,CIT also said it reached an agreement with Goldman Sachs to keep a credit line open should the lender file for court protection.
6,"CIT arranged a $4.5 billion term loan that can be used in bankruptcy, the company said Oct. 28."
5,"CIT dropped 23 cents, or 24 percent, to 72 cents in New York Stock Exchange composite trading yesterday."
6,"CIT finances about 1 million businesses from Dunkin' Brands Inc. in Canton, Massachusetts, to Eddie Bauer Holdings Inc., the clothing chain in Bellevue, Washington, that's operating under bankruptcy protection."
6,"CIT Group Inc., the 101-year-old commercial lender seeking to avoid collapse, may file for a prepackaged bankruptcy as soon as this weekend after striking deals with billionaire Carl Icahn and Goldman Sachs Group Inc."
5,"""CIT has gotten its ducks in a row for filing,"" Adam Steer, an analyst with CreditSights Inc. in New York, said in a telephone interview."
5,CIT is seeking to reduce debt by at least $5.7 billion after being locked out of credit markets it relies on for funding and posting nine quarters of losses totaling more than $5 billion.
5,"CIT's agreement to ""give control to the noteholders"" and an accelerated process for appointing directors ""significantly improve corporate governance and cash flow protections, and are positive for the company and all noteholders,"" Icahn said in a statement yesterday, explaining why he changed his vote in favor of the prepackaged bankruptcy."
6,CIT's agreement with New York-based Goldman Sachs will reduce a $3 billion credit facility to $2.13 billion and keep the line open should CIT file for bankruptcy.
5,CIT spokesman Curt Ritter declined to comment yesterday.
5,"Clarke accepts the report, and begins an internal review of whether the 35-year-old classification system should be overhauled to be based on better evidence of harm."
5,"Clarke said the work of the advisory council had always been ""extremely valuable"" when he was at the Home Office."
5,"Clausen, keeping his name in the Heisman Trophy conversation, was 22 of 27 for 268 yards."
6,Clausen sat out the fourth quarter after one of his most accurate games of the season.
5,"Clausen threw two touchdowns, including a desperation heave that Golden Tate spectacularly pulled down to end the first half, and Notre Dame clobbered Washington State 40-14 on Saturday night."
6,"Clausen was replaced by sophomore Dayne Crist, who went 2 of 6 for 69 yards and had a 64-yard touchdown to John Goodman."
5,"Click next, and choose your make and type of printer."
4,"click on hotels icon on the right, then choose on the lake at the top of the page to make it easy."
6,"Climate change is deepening the problem, making seasonal rains less reliable and driving up average temperatures in some areas, said Jochen Renger, a water resources specialist with the German government's technical assistance arm, who has been advising the water ministry for five years."
5,Clinton also agreed with a statement by Netanyahu that Palestinians had never demanded a settlement freeze in the past as a condition for sitting down with Israel.
5,"Clinton discussed tax disparity and foreign aid and said taxpayers and Congress ""want to help those who help themselves."""
5,"CLINTON: I appreciate too the idea of a sustainable, long-term partnership, and to highlight the opportunities that exist and to use the tools that are already at our disposal, tools like OPIC or the Export-Import Bank or making sure that travel visas get issued."
6,Clinton intends to consult with a range of Arab foreign ministers on the Israel-Palestinian stalemate when she attends an international conference in Morocco on Monday and Tuesday.
6,Clinton made it clear that she wasn't pleased with Israeli settlement construction but that it was no reason to hold up talks.
6,"Clinton met with Palestinian Authority President Mahmoud Abbas in Abu Dhabi before flying to Israel for meetings with Israeli officials, including Prime Minister Benjamin Netanyahu."
5,Clinton praised Israel's efforts and said she expected its proposals for talks would address past criticism:
6,"Clinton said the offer that the Israeli government is making on settlements is ""unprecedented."""
6,Clinton's main aim during her one-day visit to Israel was to resuscitate the Obama administration's flagging Mideast peace push by persuading the two sides to return to talks.
6,"Clinton's spokesman denied a suggestion that she had specifically asked Abbas to accept Netanyahu's offer to limit settlement building to 3,000 new units in return for a resumption of talks."
6,Closed areas include the Alameda County shoreline between the Bay Bridge and the San Mateo Bridge.
2,close firefox and thunderbird   open ~/.mozilla-thunderbird/<profile>.default/prefs.js  and add     Code:    and that should do it.
2,"""Close games all the time it kind of gets old."""
4,"""Cocaine is no longer reserved for millionaires and rock stars."""
5,"COCAINE use has filtered down from the socialites to suburbia, with a new report showing ""stressed-out housewives"" in some affluent suburbs have become regular users."
2,Code: Hope this helps.
3,Code: Lets see if you can get a working xserver using the fbdev graphics driver.
4,"Code: You may also want to try setting the display driver used to ""radeon""."
3,"""Cody, paying attention in school or at least going to class can help you so much ... Cody I care about you ... I've seen you have some hard times."""
6,"Colleagues say Kirk has fit in seamlessly, capitalizing on his friendly persona as well as his past as Kennedy's top Senate aide in the 1960s and 1970s and as Democratic Party chairman during the 1980s."
2,Come on over for a visit!
4,Comment this and then the problem will be solved.
5,"Commerce Minister Chen Deming warned yesterday that the global economy may ""plunge"" if nations withdraw support measures too quickly."
2,"Comming in one week to NY, I still hope for a shopping, for a micro shopping, for a most tiny shopping in my life :)"
6,Committees in both houses of Congress defeated thirty different amendments barring such funding.
5,"Compensation is, after all, supposed to bear some relationship - a close relationship, in a competitive market - to the actual skills that individuals possess and the manner in which they can deliver value to firm clients; tying that compensation rigidly to associate seniority makes about as much sense for law firm associates as it does for elementary school teachers, i.e., none at all."
5,Compensation will be tied to those competencies by 2011 as well.
5,"Comprised of 11,000 physicians and scientists, ASN continues to promote expert patient care, to advance medical research, and to educate the renal community."
5,"Comptroller Dan Hynes, Quinn's opponent in the Feb. 2 Democratic primary for governor, said Adams' appointment showed Quinn does not understand the depth of the state's budget problems."
5,Computer-based self-instruction uses many of the principles of Skinner's technique.
4,"Concerning ""smp"", the kernel I've installed (686) is in fact the smp version of the normal kernel."
5,Concerns have been raised about a possible repetition of the ballot-box stuffing and distorted tallies in the second round.
6,Conflicts of interest between the two regarding Android forced Google CEO Eric Schmidt to first recuse himself from some Apple board meetings and eventually to resign from the board altogether after Chrome OS created further conflicts.
2,congratulations to you and your fiancee
3,"Congratulations, you two -- and a heartfelt thanks to everyone who took the time to send in their lovingly crafted Jack O' Masterpieces!"
6,"Connie Seidman of Carmichael, Calif., whose 43-year-old son was aboard the plane, said he had been in the Coast Guard since he was 20 and loved to fly."
5,"Consequently, I hereby release those individuals who have endorsed and supported my campaign to transfer their support as they see fit to do so."
5,"Consequently, the pilots lost sight of each other before the fatal collision, and became disorientated."
5,"Conservative media push distorted comments to suggest Clinton celebrated taxing ""everything that moves"""
6,"""Conservative Republicans will undoubtedly claim victory in sidelining the moderate GOPer Scozzafava,"" said CBS News' director of political coverage Steve Chaggaris."
5,"Conservatives have asserted that Scozzafava, a GOP establishment-backed state assemblywoman who supports abortion rights and gay marriage, is far too liberal for them to support and numerous prominent GOP figures have recently endorsed Hoffman."
5,Conservative women fight bigotry from all sides.
4,Consult manual to see how find works (man find)
2,Contact the podcast
3,Continue Reading
5,"Contrary to previous studies, lupus patients who receive kidney transplants rarely develop lupus nephritis"
5,"Controversy apart, Swami has an impeccable track record."
5,"Cook, a retired parole officer, has joined forces with candidates in two other races to form a ""Progressive Coalition"" for City Council."
3,"Copenhagen may be a bust, and it's all the U.S. and E.U.'s fault -"
5,Cops then obtained an arrest and search warrant and went to his house last Thursday looking to question him about the attack.
5,Corben is part of the Eastern Suburbs social set and works in the finance sector.
5,"Corben's father, who was in court to support him yesterday, posted $10,000 cash as surety."
5,Correspondents say the trio clearly enjoyed each other's company at their first reunion in many years.
5,"Corzine, who is estimated to be spending nearly $2 million a week on advertising has been increasingly negative in his ads, a move seen by many as a means to close the gap in the polls."
6,"Costello, a civil engineer with drainage expertise, said his professional background will help him tackle flooding and traffic problems."
3,"Could be, but how conservative are those votes?"
2,"'Could be that there's another way for him to earn a buck that doesn't have to do with being in the spotlight - he remembers at the beginning of the interview his prospects in hockey or as an electrician - because Levi sounds down, out, and tired of dealing with all of this shit."
3,Couldn't get anything with it in kubuntu.
3,Could that be the problem.
6,Council chair Sir Michael Rawlins says he is stepping down and Nutt succeeds him in October.
5,"Counselors will be at school Monday to talk with Ross' classmates and any other students who feel the need to talk about the incident, said Eftychiou, describing the violence as a rare occurrence even in vicinity of the suburban school.]"
5,Courteney Cox's new Cougar Town scratching post is the darn-close-to-age-appropriate Scott Foley.
2,"Cousin Cathy was a classy little lady who adored minuets and Crepe Suzette; rock 'n' roller cousin Patty lost control when it came to, um, hot dogs."
3,Create things and share them with their friends.
5,Crews have been working day and night trying to repair the eastern cantilevered span where a cracked eyebar was found about two months ago.
6,"Crews scanning a 644-square-mile patch of ocean in waters about 2,000 feet deep found debris from both aircraft, but there was no sign of the crew members or their bodies."
6,"Crews will search the Pacific's chilly waters overnight for nine people lost two days ago when a Marine Corps helicopter and a U.S. Coast Guard plane crashed in midair, though hope of finding survivors fades with each hour, a top Coast Guard commander said Saturday."
5,Crist was to be evaluated on Monday.
6,Critics have said high-level U.S. visits from other countries give legitimacy to the military regime that jails opponents.
6,"Critics of Ashcroft complain about the confidential nature of the ""accommodation agreements"" - one signed with Telemedia, a telecoms company previously owned by the Tory peer, and the other his Belizean bank."
5,CTBTO staff monitor tremors in countries worldwide to uncover illegal nuclear tests.
3,"Ctrl-Alt-Del wouldn't reboot, turning off and back on via the power button resulted in the same screen."
5,"Cuba's former leader, Fidel Castro, has blamed the growth in swine flu on an increase in US visitors to the island."
5,"Cummins Inc., the largest maker of heavy- duty diesel truck engines in North America, cut about 7,500 workers from late 2008 through June and has since recalled about 900."
2,Curious...
4,"Currently Brizzly is in private beta, but ReadWriteWeb has scored 2000 invites for our readers to test it out! (see the post for the code)."
5,"Currently, Brizzly offers a user-friendly browser-based interface for Twitter and Facebook."
5,"Currently, ClubMac is offering the lowest prices on the new all-in-one desktops, with savings of between $135 and $208 after a mail-in-rebate and an exclusive 3% discount available only to AppleInsider readers."
5,"Currently, such donations are only revealed in the semi-annual reports or when they are made within a month of an election."
5,"'Currently, the French hypermarket groups Carrefour and Geant are the main foreign chains in the Middle East."
4,"Currently, you need photo ID (i.e. driver's license) AND your birth certificate for Customs on both sides of the border, OR a passport."
5,Curtis Garmon is a purchasing agent from Lakewood Heights.
5,Cuyahoga County Coroner Frank Miller identified two bodies as black females and said one had died of a violent death ruled a homicide.
4,"Daily Times: Clinton says Pakistan's taxes ""among the lowest in the world... We (the United States) tax everything that moves and doesn't move."""
4,Dan Riehl has a shocking behind-the-scenes post detailing the thought process:
5,"Darren Dunlap, 38, frequently visits the neighborhood to see his brother or friends."
6,"Das is shocked at the sheer audacity of spotting 3,000 mistakes in 'Ramayana'."
5,"David Axelrod, one of Mr. Obama's top advisers, talks Afghanistan, health care, and economics on ""Face the Nation"" with CBS's Bob Schieffer."
6,David Blunkett downgrades cannabis to Class C on the recommendation of the independent Advisory Council on the Misuse of Drugs.
4,"David Brooks today says he wanted to write a column about Obama's pending decision over Afghanistan, and in order to write this column, this is what he tells us he did:"
5,"David Cromer, who also directed the production of ""Our Town"" that is still running Off Broadway, was directing both Simon plays."
6,"David Plouffe, Mr. Obama's campaign manager last year, has a similar discussion on NBC with Mr. Gregory."
6,"Decades later, after his 60th birthday, it resumed at a classic car auction in Katy and continued until the prominent Houston litigator died in a car accident last week, when he had invited an overseas expert and a film crew to witness the rebirth of one of the great novelties of his vast collection: the oldest existing working automobile."
5,DeDe Scozzafava has dropped out of the NY-23 race.
4,"Deep gullies, washed away homes, bridges and roads are hard to ignore."
6,"Defense Secretary Gilbert Teodoro expressed fear that floods and traffic congestion may trap visitors at graveyards, where people traditionally spend a day or even a night, but few heeded his call to scrap this year's commemorations."
6,"Delaware is attractive because it does not tax profits realized outside the state and does not require companies to be physically present, according to the Tax Justice Network."
5,"""Delaware is no more secret than any other U.S. state,"" he said, noting that Delaware's attraction to business is its flexible laws and expert courts."
6,"""Demand from China is helping sustain South Korean exports, while orders from the U.S. and elsewhere still remain weak."""
5,Democrat Bill Owens and Conservative Doug Hoffman have put out statements reacting to moderate Republican candidate Dede Scozzafava dropping out of the race in NY-23.
6,"Democratic Gov. Jon Corzine is running a close contest with Republican Chris Christie - a recent New Jersey poll found them virtually tied, while the Rasmussen Report which Republicans love to love has portrayed Christie with a slight edge."
6,"Democrats and Republicans agree the economy will be the top issue for the 2010 congressional elections, although the White House has disputed suggestions that they will be a judgment on Obama and his policies."
6,"Democrats, in turn, will argue that the GOP has grown too conservative for the party's moderates -- a case that was helped today -- except that the vast rural region of upstate New York is hardly a bellwether district.)"
6,Democrats meantime faced the prospects of frustrated voters in the Feb. 2 primary.
5,Democrats this week also received a personal letter from the president.
4,"Demoed on YouTube, the blacksn0w exploit will provide a baseband unlock of the 3.1.x firmware allowing your iPhone to run on your preferred GSM carrier."
5,"Depending on your router settings, some things may be problematic with the broadcom driver."
2,depends on the location of your drive
6,"Deputy Assistant Secretary Fitzgerald, in a Washington press briefing, said he believes the attack was an effort by the government to intimidate the opposition even though Captain Camara told him in Conakry he did not order the bloody crackdown."
6,Derr has been active in Houston Heights civic groups and advocates a comprehensive spay and neuter program for stray animals.
4,"Despite all of the custodial trauma Levi's claiming, you've gotta wonder if he isn't enjoying his time in the limelight."
6,"Despite an open mayoral race, the City Council races have generated little interest among voters."
5,"Despite Brown's endorsement by three prominent black ministers, Holand Baker said he was sticking with Locke."
6,"Despite Gordon Brown's campaigning on Mr Blair's behalf for the EU Presidency, the estimated £15million Mr Blair has made from commercial activities since stepping down as Prime Minister in 2007 has inevitably added to doubts over his focus on political matters."
5,"Despite his infirmities, Chaudhry is not leaving the country without a fight."
6,"Despite the destructive effects of qat, the Yemeni government supports it, through diesel subsidies, loans and customs exemptions, Mr. Eryani said."
6,"""Despite the improvements we have seen in some of our markets, we still face considerable challenges over the next year,"" Chief Operating Officer Tom Linebarger said Oct. 30 on a conference call."
6,Detectives with a search warrant found two bodies Thursday on the third floor of a duplex and began checking a fresh grave dug in the basement.
5,"Development for trophy support necessarily comes toward the end of a project, Minkoff said."
3,Did he talk to Max Boot or one of the decorated members of the elite war-cheering Kagan family or similar discredited war-lovers from the American Enterprise Institute and The Brookings Institution?
3,Did Levi approach VF?
2,"Did the stupid stop, start thing as mentioned earlier in this thread, and I am still getting a 0x0305 error."
2,did ubuntu fry my video hardware?
3,Did you install emerald and themes?
2,Did you run sudo molvconfig to set the video modes?
2,did you try
3,Did you try Squinky's guide?
5,"Directed by Hype Williams, the video not only highlights the majestic boroughs and surroundings of NYC for folks to visualize, but brings forth somewhat of a revitalization of the Empire state."
5,"Disingenuous or not, the idea that solar takes up too much land is widespread."
6,"District A, in northwest Houston, has drawn seven aspirants for the term-limited Toni Lawrence's seat."
5,"District F, in southwest Houston, may be the most diverse district."
5,District G encompasses the west side of Houston.
5,D-Lister Avril Lavigne appears on the cover of Z-List magazine Savvy this month.
3,Do as the message states.
3,"Do check out the webites I listed in previous post, they'll provide good info!"
5,"Doctors treat a few hundred runners every year, most for aches and pains."
6,"Documents show that amid the McCarthyism in the 1950s, allegations were made that he was a communist who stole confidential information about the U.S. government."
4,Does anybody know a command to close the CD tray on an iMac G4?
2,Does anyone have a idea on how I can do it?
2,does anyone know how to correct this?
2,does anyone know if the prices of new york hotels getter cheaper if you book them closer to the date of arrival
2,does anyone know if this is possible?
3,Does anyone really believe that a government plan consisting of nearly two thousand pages will simplify things and leave us a freer people?
3,Does he still count as a centrist?
3,Does it show that?
2,Does monopole still exist ?.
3,Does Netflix offer the hottest releases digitally?
3,Doesn't fix the crash on exit problem.
2,Doesn't have to be fancy.
2,Doesn't take much to learn.
3,"Does the built-in ""CD/DVD Creator"" work?"
2,do I need to add a port or something ?
3,Do I need to create it?
2,Do I need to put it on the startup.
3,Do I need to rent a car?
3,Do make sure you've got all the requirements stated in the 'README' file.
5,"Donations for the Richmond High School rape victim may be sent to: Richmond High Jane Doe, account No. 041-30-1188, Mechanics Bank, 3170 Hilltop Mall Road, Richmond, CA 94806."
5,Donors and some advisers told him to temper the policy proposals that might not play well in conservative parts of California.
2,Don't a quit->suspend even pops up an error message saying the laptop didn't suspend correctly.
3,Don't come w/o reservations or you may find yourself sleeping in your car!
2,Don't conservative women feel oppressed?
3,Don't conservative women see how reproductive control puts a woman in the driver seat?
2,"Don't despair because it seems really old, Macs last for ever."
3,"Don't despair, get it going if you have time!"
2,Don't do that.
2,don't forget to edit /dev/sdb1 by your harddrive node
4,"Don't get me wrong, there can still be a ""fourth wall"" during a live concert or video, but real, meaningful connection with the fans is what keeps me in their heads after the show's over (heck, even your ""character"" can interact with fans in-character)."
2,don't know if chairlift or the highway to the top is open yet.
4,Don't know when you're going but you might see if there is an ice show at the Olympic Ice Arena.
2,Don't let the door hit you on the way out!
3,Don't take them inside if you aren't willing to buy something.
4,"Do stop by this year and ""Camp With Champ""."
3,"double click ""New Printer"""
4,Doug finally got to sashay around in public in a pair of pink heels.
5,"""Doug's campaign will receive the financial backing of the RNC, and get-out-the-vote efforts to defeat (Democrat) Bill Owens on Tuesday,'' Steele said in a statement issued by the RNC today."
3,Do we need permit or day-pass?
4,"""Do we really want to send another Democrat over there to continue that problem?"" Nealey asked."
6,"Downing Street is discreetly supporting the foreign secretary as a candidate for EU high representative for foreign affairs, with Tony Blair looking increasingly unlikely to win the presidency."
5,Downing Street spin-doctor Damian McBride was forced out over leaked emails containing unfounded slurs against Tory MP Nadine Dorries.
2,download googleearth and check out niagara falls.
2,Download the podcast
4,Downside are the dependencies at the moment.
4,Downtown is starting to update it olds buildings.
4,Do you have that resolution specifically called out in xorg.conf?
3,Do you have the bluetooth applet in the corner of your screen?
3,Do you have these installed?
2,do you think it needs to see 57600 to work?
5,"Driving around southeast Nigeria, examples of soil erosion at its worst are a common sight."
4,Driving up the Taconic or Route 9 from one college to the other is a way to get a feel for the area.
5,Dr. Mark Levin wrote a seminal book that really swept this country called Liberty and Tyranny.
5,"Dr Matthew Hickman, reader in public health and epidemiology at the University of Bristol, said: 'The decision will be made on Monday.'"
6,"Dr Polly Taylor, a freelance consultant in veterinary anaesthesia, said: 'I'm aware of what has happened and I fully support David Nutt. I've still not come to a decision on what is the best course of action. I imagine we will take group action.'"
6,"Dr Sunita Shastri, considered an authority on the epic and advisor to Geeta Press, claimed to have accessed the controversial edition for two hours."
4,"Drudge: ""Hillary: 'We tax everything that moves and doesn't move.' """
5,Drug Arm counsellor Richard Norman said it was no surprise that cocaine is becoming more accepted in the suburbs.
4,Drugs charities were also critical.
5,Ductal carcinoma in situ accounts for 20% of the diagnoses made through screening.
2,Dump Dede has more.
4,"During a 2006 examination, an SEC staffer asked Bernie Madoff for information."
6,"During a very unifying Democratic convention, a media not ready to let go of the meme treated the viewing public to endless interviews with PUMAs from far and wide, talking about how, as women, they felt compelled to turn their backs on the Democratic Party for-EVAH."
5,"During her roundtable discussion, Clinton called on Pakistan to raise more of its own revenues, rather than relying on foreign aid."
4,"During lunch Saturday, Seaman Recruit Michael Ware, 20, was washing dishes in the mess hall, his right arm revealing the tattooed names of his older brother and younger sister."
4,During my many trips to this region I've always gone to Donnelly's with a fantastic view of the peaks.
5,"During the 1970s, when Iraqis enjoyed a flood of oil money, customers flocked to him to supply elaborate gardens, buying plants imported from Jordan and Syria, Mr. Abbas said."
5,"During the 2008 electoral cycle, the public conversation had to endure the endless bleatings of political pundits who knowingly warned that women may not support Barack Obama because he had denied Hillary Clinton the presidential nomination."
6,"During the man-made satellite project, when everyone else was not sure that the satellite would work perfectly in space given the limited testing facilities, Qian researched piles of documents and papers and wrote, ""In my opinion, the satellite is done."""
5,"During the past several months, as I've traveled the district, meeting and talking with voters about the issues that matter most to them, I've been overwhelmed by the amount of support I've received as I sought to serve as their voice in Washington."
5,"During the study period of 19 years, 12.7% of patients died with only 0.4% patients dying in the group with lupus developing in the transplanted kidneys."
6,"During the test, vibrations are mechanically induced into the rocket by four hydraulic shakers and a sway is manually introduced for lateral motion to measure the vehicle's response."
4,"During the worst years, he said, it was difficult to buy plants, so the family used clippings to fill out the garden."
5,"Each month, the best new iPhone apps—and some older ones—are considered for admission into Gizmodo's Essential iPhone Apps Directory."
6,"Each of the candidates in the three-way contest in New York was drawing about one third of the support of voters surveyed, so the withdrawal of the Republican should fairly well hand the contest to the conservative - returning the contest, in a district that Republican John McHugh held until Obama named him secretary of the Army, to a clear race beween a hard-line conservative and a Democrat."
5,"Each of these 10 photos highlights what we love most about this time of year: creativity, imagination, and fantasy."
4,"Each of the three associate levels will be tied to an ""academy."""
6,"Each one grows exponentially; creates dependent constituencies that lobby for yet more tax dollars; and empowers bureaucrats for whom mission failure ensures more staff, more money, and more power."
5,"Earlier in the day, a top aide to Abbas, Saeb Erekat, told The Associated Press that Abbas rejected Clinton's request that he allow Israel's government to complete building 3,000 units in Jewish settlements in the West Bank, and to allow the government to construct public buildings and continue construction in east Jerusalem - a territory Palestinians hope will be their future capital."
5,"Earlier in the week, President Obama announced the largest-ever investment in the nation's electric grid - more than $3.4 billion in grants distributed among 100 grantees."
5,"""Earlier,"" said one villager, ""we used to fear the tigers and wild boars. Now we fear the guns of the Naxalites and the police."""
5,"Earlier, the IEC announced that it planned to open 6,322 polling stations for the run-off - more than it did during the first round."
6,"Earlier this year, the Obama administration called for the Israelis to halt building more housing on land the Palestinians regard as theirs."
5,"Early indications were that the injured had spinal injuries, broken legs, ankles, a possible dislocated shoulder, trauma and cuts."
4,Early users reported mixed feelings.
2,Easy enough.
6,"Economic growth in China accelerated to 8.9 percent last quarter, fueled by government stimulus spending and more than $1 trillion of new bank lending."
5,"Economies across Asia are ""rebounding fast"" from the global crisis, helped by fiscal support that the region's governments must maintain amid weak global export demand, the International Monetary Fund said on Oct. 29."
5,"Ed argued this morning that Scozzafava's withdrawal is likely to hurt Owens ""tremendously"" because it frees up a ton of Republican votes."
4,"Eddie House, who came off the bench and scored 22 points on 9-of-13 shooting, drilled four of his seven threes in the second."
4,"""Eddie's a great shooter,"" said Marquis Daniels, who finished with four assists and scored all 7 of his points in that second quarter."
5,"Ed Hubbard, co-founder and CEO of the Witch School, said he underestimated the difficulty faced by the school when it relocated to Rossville, about 125 miles south of Chicago near the Indiana border."
5,"Edison, Whirlpool to get stimulus money: Detroit Edison and the Whirlpool Corporation in Benton Harbor will receive $103 million in federal stimulus money to make investments in green technology."
2,edit: and that thing about rhythmbox taking forever.
2,EDITED Bad news for not English speakers.
2,*edit: I disable this before using wifi-radar
3,Edit: It seems to be an error in the latest version of Greasemonkey.
3,Edit: just tried Beep Media Player (sudo apt-get install beep-media-player from universe).
2,"Edit: Maybe not, the deps are ugly and SourceForge is down for maintenance (as usual) so I can't even grab the gtk# libs."
4,Edit: Moderator - If this has not been posted before please consider making this link a sticky.
2,"EDIT: OK, I'm ignorant, and the above amply displays it."
6,"EDITOR: The study abstract, ""Recurrence of Lupus Nephritis Following Kidney Transplantation,"" (SA-PO3076) will be presented as part of a Poster Session during the American Society of Nephrology's 42nd Annual Meeting and Scientific Exposition on Oct. 31, from 10:00 am to 12:00 pm in the Scientific Exposition Hall of the San Diego Convention Center in San Diego, CA and at a Press Briefing on Oct. 29 at 12:40 pm in Room 12."
5,"Ed Morrissey at Hot Air has the latest Siena Poll that doomed Scozzafava and adds: This confirms the basic thrust of the three earlier polls, and especially the Daily Kos poll, which got the ranking of the candidates and the distribution of the vote almost exactly correct."
2,"[Ed. Oh, we'll definitely know that soon enough. Intimately.]"
5,"Edward L. Yingling, the president of the American Bankers Association and a staunch opponent of many efforts to regulate the financial industry, logged in five times."
4,Effendi laughed as he recalled having to tell his teacher that he lost his homework in the river.
6,"Efforts are under way to open peace negotiations, but as yet remain stalemated."
2,e.g. in the source code you have:
5,Eight of 10 states with the highest level of trust are in the West and Midwest while six of the bottom-ranking states are in the South.
4,Either that or the network has everything it needs from your provider's SIM card installed in the back.
3,Either that or we need to crank up the scariness.
4,"Either way, we're gonna find out, and with it, the weight of whatever Johnston may or may not have, and the character of his balls if forced to move it forward."
4,"""Either we are sitting here, or we are on patrol. There is nothing else."""
4,Eject as a term has been replaced by unmount.
2,"""eject"" probably does send something to the drive as the iPods seem to like this (the ""do not remove"" disappears from the iPod display)."
3,"""Eject"" unmountes the device (if still mounted) and then tries to eject the device if possible (for CDROMs etc)."
6,Elders in the coastal area said the pirates might have been worried that they were vulnerable to attack if they continued to keep the Chandlers aboard the hijacked freighter bobbing off Xarardheere.
5,"Electronic applications can be sent to intern@reason.com, with the subject line: Gray Internship Application."
5,"Eleven of those reservists are from the New York City area, members of the Navy Operational Support Center in the Bronx, whose accents, Yankees allegiances and urban swagger have lent an air of local authenticity to the ship, which has 7.5 tons of steel from the World Trade Center cast into its bow."
6,"Emanuel continues to believe that oceans in a warming world will produce stronger storms, because the trend over the last 30 years in the Western North Pacific and Atlantic basins is upward."
5,Emanuel said the Western North Pacific and Atlantic hurricane basins have the best data on storms during the last 30 years because they include aircraft data.
6,Emergency workers called to the scene were quoted as saying they believed he was already dead when they arrived.
6,"Employers in the U.S. kept cutting jobs in October and manufacturing picked up, pointing to an uneven economic recovery that will take time to encourage hiring, economists said before reports this week."
5,"Employers would jump ship, opting to pay a fine rather than provide insurance."
5,"Endless options along the Hudson like the Catskills and, particularly, the Town of Woodstock where you will an delightful afternoon and great restaurants."
5,Endorsements were cited repeatedly by backers of former city attorney Gene Locke.
6,Engadget assumes no responsibility for injury or death.
6,Engineering firm ABB sees profits rise as expected (29 Oct 09)
5,"English teacher Jessica Price, who knows the victim and most of the arrested suspects, said the girl has helped in conflict-mediation groups."
2,Enjoy!
2,Enjoy.
3,"Enjoy, it's a wonderful place."
2,Enjoy safe travels!!
3,Enjoy your visit.
3,Enjoy your weekend everyone.
2,Enter blacksn0w.
3,Enter Dede Scozzafava.
5,Entrance to their salmon-colored building is via a high-security electric gate.
5,"Environmentalists warn once it takes hold, it becomes a losing battle to reverse landslides and degradation."
5,Environment Commissioner Ebgebike says funding is critical and appeals for international help to deal with the situation.
5,"Equality in the workplace, more equitable task distribution at home (still haven't figured out how to outsource breastfeeding, but I digress), and more respect for women generally - all triumphs of the women's movement - have benefited all Western women."
6,Erekat said Clinton had told Abbas that the settlements were not legitimate but said the United States was unable to persuade Netanyahu's government to commit to an outright freeze.
5,"Erekat said that Abbas wants negotiations to pick up where they left off with former Prime Minister Ehud Olmert, and that the Israelis do not."
4,Erick Erickson is correct.
4,Erick Erickson says of this turn of events:
6,"Eschol Amelia ""Amy"" Studnitz had been working for Corporate Mailing Services since August 2008 as a senior accountant."
4,Especially if you are getting it going for a school it will still be very useful.
5,Essentially the ACE Index approximates the total energy of a storm from its intensity and duration.
2,eth1 is my Airport Extreme card.
2,"Et tu, Newt?"
6,"Evan Harris, another Liberal Democrat member of the science and technology select committee, said: ""The political sacking of a distinguished scientist, who is the chair of an independent scientific advisory committee, for the 'crime' of having different views than the secretary of state, is an enormous blow to the credibility of the government's approach to scientific evidence."""
