Informativeness,Sentence
Informative,"Chaudhry - who claims he was coerced into pleading guilty to the crimes, for which he paid fines - says he didn't realize they were classified as convictions."
Informative,"Chidambaram said India would retaliate strongly against any attempt by Pakistan to send infiltrators into India and ""we have strength to tackle any such infiltration""."
Informative,"Chief constables support the decision, but Keith Hellawell, the drugs czar, resigns and police organisations later criticise it."
Informative,"Chief Petty Officer John Seidman last visited his family in February after returning from a posting in Hawaii, and they talked on the phone often."
Informative,"China asks the EU to abide by the principles of equality and mutual respect and not to send any misleading signals to Tibetan separatists, so as to ensure sound and stable development of EU-China relations, Ma said."
Informative,"China had demanded that the Uighurs be returned there but the U.S. government has said it could not do so because they would face persecution, and it has searched for months for a nation willing to accept them."
Informative,"China, Li said, is willing to work with Queensland to push bilateral exchanges and cooperation to a higher level in a variety of sectors, including investments, agriculture, mining, clean energy, environmental protection and technology."
Informative,China on Friday voiced its strong dissatisfaction and firm opposition to an EU statement which denounced the execution of two Tibetans convicted of murder in last year's Lhasa riot.
Informative,China's cabinet pledged Oct. 21 to continue monetary and fiscal stimulus even after growth exceeded officials' expectations for the first nine months of the year.
Informative,"China's keystone space scientist Qian Xuesen, widely acclaimed as the country's ""father of space technology"" and ""king of rocketry"", died of illness here Saturday morning at the age of 98."
Informative,"China's legal institutions have carried out fair and open trials and brought only the culprits of the criminal activities to justice, he said."
Informative,China's manufacturing expanded at the fastest pace in 18 months and a government researcher said economic growth will accelerate this quarter.
Informative,"""China's recovery has been impressive, but has been heavily reliant on government-directed investment,"" said Brian Jackson, Hong Kong-based strategist for emerging markets at Royal Bank of Canada."
Informative,"China's top legislature closed Saturday its five-day bimonthly meeting, adopted a law on diplomatic personnel and appointed a new minister of education."
Informative,"China will impose five-year anti-dumping tariffs, ranging from 5 percent to 35.4 percent, on imports of adipic acid from the United States, the European Union and the Republic of Korea, the Ministry of Commerce (MOC) said on Sunday."
Informative,"China will sustain its economic rebound this quarter and growth is likely to top the government's 8 percent target for 2009, the central bank said Oct. 30."
Informative,Chinese Vice Premier Li Keqiang said here Saturday that China and Australia can lift their bilateral relationship to a new level through a strengthened dialogue and increased cooperation between the two trading partners.
Informative,Chow retired after 30 years working in the Houston planning department.
Informative,"Christopher Scott Corben, 30, was arrested an hour later by officers from The Rocks and charged with the woman's sexual assault."
Informative,"Chuck is the Mr. Darcy in the sophisticated Manhattan world of ""Gossip Girl,"" but he has a decidedly contemporary comfort level when it comes to sexual vagueness."
Informative,CIT also said it reached an agreement with Goldman Sachs to keep a credit line open should the lender file for court protection.
Informative,"CIT arranged a $4.5 billion term loan that can be used in bankruptcy, the company said Oct. 28."
Informative,"CIT dropped 23 cents, or 24 percent, to 72 cents in New York Stock Exchange composite trading yesterday."
Informative,"CIT finances about 1 million businesses from Dunkin' Brands Inc. in Canton, Massachusetts, to Eddie Bauer Holdings Inc., the clothing chain in Bellevue, Washington, that's operating under bankruptcy protection."
Informative,"CIT Group Inc., the 101-year-old commercial lender seeking to avoid collapse, may file for a prepackaged bankruptcy as soon as this weekend after striking deals with billionaire Carl Icahn and Goldman Sachs Group Inc."
Informative,"""CIT has gotten its ducks in a row for filing,"" Adam Steer, an analyst with CreditSights Inc. in New York, said in a telephone interview."
Informative,CIT is seeking to reduce debt by at least $5.7 billion after being locked out of credit markets it relies on for funding and posting nine quarters of losses totaling more than $5 billion.
Informative,"CIT's agreement to ""give control to the noteholders"" and an accelerated process for appointing directors ""significantly improve corporate governance and cash flow protections, and are positive for the company and all noteholders,"" Icahn said in a statement yesterday, explaining why he changed his vote in favor of the prepackaged bankruptcy."
Informative,CIT's agreement with New York-based Goldman Sachs will reduce a $3 billion credit facility to $2.13 billion and keep the line open should CIT file for bankruptcy.
Informative,CIT spokesman Curt Ritter declined to comment yesterday.
Informative,"Clarke accepts the report, and begins an internal review of whether the 35-year-old classification system should be overhauled to be based on better evidence of harm."
Informative,"Clarke said the work of the advisory council had always been ""extremely valuable"" when he was at the Home Office."
Informative,"Clausen, keeping his name in the Heisman Trophy conversation, was 22 of 27 for 268 yards."
Informative,Clausen sat out the fourth quarter after one of his most accurate games of the season.
Informative,"Clausen threw two touchdowns, including a desperation heave that Golden Tate spectacularly pulled down to end the first half, and Notre Dame clobbered Washington State 40-14 on Saturday night."
Informative,"Clausen was replaced by sophomore Dayne Crist, who went 2 of 6 for 69 yards and had a 64-yard touchdown to John Goodman."
Informative,"Climate change is deepening the problem, making seasonal rains less reliable and driving up average temperatures in some areas, said Jochen Renger, a water resources specialist with the German government's technical assistance arm, who has been advising the water ministry for five years."
Informative,Clinton also agreed with a statement by Netanyahu that Palestinians had never demanded a settlement freeze in the past as a condition for sitting down with Israel.
Informative,Clinton intends to consult with a range of Arab foreign ministers on the Israel-Palestinian stalemate when she attends an international conference in Morocco on Monday and Tuesday.
Informative,Clinton made it clear that she wasn't pleased with Israeli settlement construction but that it was no reason to hold up talks.
Informative,"Clinton met with Palestinian Authority President Mahmoud Abbas in Abu Dhabi before flying to Israel for meetings with Israeli officials, including Prime Minister Benjamin Netanyahu."
Informative,Clinton praised Israel's efforts and said she expected its proposals for talks would address past criticism:
Informative,"Clinton said the offer that the Israeli government is making on settlements is ""unprecedented."""
Informative,Clinton's main aim during her one-day visit to Israel was to resuscitate the Obama administration's flagging Mideast peace push by persuading the two sides to return to talks.
Informative,"Clinton's spokesman denied a suggestion that she had specifically asked Abbas to accept Netanyahu's offer to limit settlement building to 3,000 new units in return for a resumption of talks."
Informative,Closed areas include the Alameda County shoreline between the Bay Bridge and the San Mateo Bridge.
Uninformative,"""Close games all the time it kind of gets old."""
Informative,"""Cocaine is no longer reserved for millionaires and rock stars."""
Informative,"COCAINE use has filtered down from the socialites to suburbia, with a new report showing ""stressed-out housewives"" in some affluent suburbs have become regular users."
Uninformative,"""Cody, paying attention in school or at least going to class can help you so much ... Cody I care about you ... I've seen you have some hard times."""
Informative,"Colleagues say Kirk has fit in seamlessly, capitalizing on his friendly persona as well as his past as Kennedy's top Senate aide in the 1960s and 1970s and as Democratic Party chairman during the 1980s."
Informative,"Commerce Minister Chen Deming warned yesterday that the global economy may ""plunge"" if nations withdraw support measures too quickly."
Informative,"Comptroller Dan Hynes, Quinn's opponent in the Feb. 2 Democratic primary for governor, said Adams' appointment showed Quinn does not understand the depth of the state's budget problems."
Informative,Concerns have been raised about a possible repetition of the ballot-box stuffing and distorted tallies in the second round.
Informative,"Connie Seidman of Carmichael, Calif., whose 43-year-old son was aboard the plane, said he had been in the Coast Guard since he was 20 and loved to fly."
Informative,"Consequently, the pilots lost sight of each other before the fatal collision, and became disorientated."
Informative,"""Conservative Republicans will undoubtedly claim victory in sidelining the moderate GOPer Scozzafava,"" said CBS News' director of political coverage Steve Chaggaris."
Informative,"Controversy apart, Swami has an impeccable track record."
Informative,"Cook, a retired parole officer, has joined forces with candidates in two other races to form a ""Progressive Coalition"" for City Council."
Informative,Cops then obtained an arrest and search warrant and went to his house last Thursday looking to question him about the attack.
Informative,Corben is part of the Eastern Suburbs social set and works in the finance sector.
Informative,"Corben's father, who was in court to support him yesterday, posted $10,000 cash as surety."
Informative,Correspondents say the trio clearly enjoyed each other's company at their first reunion in many years.
Informative,"Costello, a civil engineer with drainage expertise, said his professional background will help him tackle flooding and traffic problems."
Informative,Council chair Sir Michael Rawlins says he is stepping down and Nutt succeeds him in October.
Informative,"Cousin Cathy was a classy little lady who adored minuets and Crepe Suzette; rock 'n' roller cousin Patty lost control when it came to, um, hot dogs."
Informative,Crews have been working day and night trying to repair the eastern cantilevered span where a cracked eyebar was found about two months ago.
Informative,"Crews scanning a 644-square-mile patch of ocean in waters about 2,000 feet deep found debris from both aircraft, but there was no sign of the crew members or their bodies."
Informative,"Crews will search the Pacific's chilly waters overnight for nine people lost two days ago when a Marine Corps helicopter and a U.S. Coast Guard plane crashed in midair, though hope of finding survivors fades with each hour, a top Coast Guard commander said Saturday."
Informative,Crist was to be evaluated on Monday.
Informative,Critics have said high-level U.S. visits from other countries give legitimacy to the military regime that jails opponents.
Informative,"Critics of Ashcroft complain about the confidential nature of the ""accommodation agreements"" - one signed with Telemedia, a telecoms company previously owned by the Tory peer, and the other his Belizean bank."
Informative,CTBTO staff monitor tremors in countries worldwide to uncover illegal nuclear tests.
Informative,"Cuba's former leader, Fidel Castro, has blamed the growth in swine flu on an increase in US visitors to the island."
Informative,"Cummins Inc., the largest maker of heavy- duty diesel truck engines in North America, cut about 7,500 workers from late 2008 through June and has since recalled about 900."
Informative,"Currently, such donations are only revealed in the semi-annual reports or when they are made within a month of an election."
Informative,"'Currently, the French hypermarket groups Carrefour and Geant are the main foreign chains in the Middle East."
Informative,Curtis Garmon is a purchasing agent from Lakewood Heights.
Informative,Cuyahoga County Coroner Frank Miller identified two bodies as black females and said one had died of a violent death ruled a homicide.
Informative,"Darren Dunlap, 38, frequently visits the neighborhood to see his brother or friends."
Informative,"Das is shocked at the sheer audacity of spotting 3,000 mistakes in 'Ramayana'."
Informative,David Blunkett downgrades cannabis to Class C on the recommendation of the independent Advisory Council on the Misuse of Drugs.
Informative,"Decades later, after his 60th birthday, it resumed at a classic car auction in Katy and continued until the prominent Houston litigator died in a car accident last week, when he had invited an overseas expert and a film crew to witness the rebirth of one of the great novelties of his vast collection: the oldest existing working automobile."
Informative,"Deep gullies, washed away homes, bridges and roads are hard to ignore."
Informative,"Defense Secretary Gilbert Teodoro expressed fear that floods and traffic congestion may trap visitors at graveyards, where people traditionally spend a day or even a night, but few heeded his call to scrap this year's commemorations."
Informative,"Delaware is attractive because it does not tax profits realized outside the state and does not require companies to be physically present, according to the Tax Justice Network."
Informative,"""Delaware is no more secret than any other U.S. state,"" he said, noting that Delaware's attraction to business is its flexible laws and expert courts."
Informative,"""Demand from China is helping sustain South Korean exports, while orders from the U.S. and elsewhere still remain weak."""
Informative,"Democrats and Republicans agree the economy will be the top issue for the 2010 congressional elections, although the White House has disputed suggestions that they will be a judgment on Obama and his policies."
Informative,Democrats meantime faced the prospects of frustrated voters in the Feb. 2 primary.
Informative,"Deputy Assistant Secretary Fitzgerald, in a Washington press briefing, said he believes the attack was an effort by the government to intimidate the opposition even though Captain Camara told him in Conakry he did not order the bloody crackdown."
Informative,Derr has been active in Houston Heights civic groups and advocates a comprehensive spay and neuter program for stray animals.
Informative,"Despite an open mayoral race, the City Council races have generated little interest among voters."
Informative,"Despite Brown's endorsement by three prominent black ministers, Holand Baker said he was sticking with Locke."
Informative,"Despite Gordon Brown's campaigning on Mr Blair's behalf for the EU Presidency, the estimated 15million Mr Blair has made from commercial activities since stepping down as Prime Minister in 2007 has inevitably added to doubts over his focus on political matters."
Informative,"Despite his infirmities, Chaudhry is not leaving the country without a fight."
Informative,"Despite the destructive effects of qat, the Yemeni government supports it, through diesel subsidies, loans and customs exemptions, Mr. Eryani said."
Informative,"""Despite the improvements we have seen in some of our markets, we still face considerable challenges over the next year,"" Chief Operating Officer Tom Linebarger said Oct. 30 on a conference call."
Informative,Detectives with a search warrant found two bodies Thursday on the third floor of a duplex and began checking a fresh grave dug in the basement.
Informative,"District A, in northwest Houston, has drawn seven aspirants for the term-limited Toni Lawrence's seat."
Informative,"District F, in southwest Houston, may be the most diverse district."
Informative,District G encompasses the west side of Houston.
Informative,"Doctors treat a few hundred runners every year, most for aches and pains."
Informative,"Documents show that amid the McCarthyism in the 1950s, allegations were made that he was a communist who stole confidential information about the U.S. government."
Informative,"Donations for the Richmond High School rape victim may be sent to: Richmond High Jane Doe, account No. 041-30-1188, Mechanics Bank, 3170 Hilltop Mall Road, Richmond, CA 94806."
Informative,Donors and some advisers told him to temper the policy proposals that might not play well in conservative parts of California.
Uninformative,"""Do we really want to send another Democrat over there to continue that problem?"" Nealey asked."
Informative,"Downing Street is discreetly supporting the foreign secretary as a candidate for EU high representative for foreign affairs, with Tony Blair looking increasingly unlikely to win the presidency."
Informative,Downing Street spin-doctor Damian McBride was forced out over leaked emails containing unfounded slurs against Tory MP Nadine Dorries.
Informative,"Driving around southeast Nigeria, examples of soil erosion at its worst are a common sight."
Informative,"Dr Matthew Hickman, reader in public health and epidemiology at the University of Bristol, said: 'The decision will be made on Monday.'"
Informative,"Dr Polly Taylor, a freelance consultant in veterinary anaesthesia, said: 'I'm aware of what has happened and I fully support David Nutt. I've still not come to a decision on what is the best course of action. I imagine we will take group action.'"
Informative,"Dr Sunita Shastri, considered an authority on the epic and advisor to Geeta Press, claimed to have accessed the controversial edition for two hours."
Informative,Drug Arm counsellor Richard Norman said it was no surprise that cocaine is becoming more accepted in the suburbs.
Informative,Drugs charities were also critical.
Informative,Ductal carcinoma in situ accounts for 20% of the diagnoses made through screening.
Informative,"During the 1970s, when Iraqis enjoyed a flood of oil money, customers flocked to him to supply elaborate gardens, buying plants imported from Jordan and Syria, Mr. Abbas said."
Informative,"During the man-made satellite project, when everyone else was not sure that the satellite would work perfectly in space given the limited testing facilities, Qian researched piles of documents and papers and wrote, ""In my opinion, the satellite is done."""
Informative,"During the worst years, he said, it was difficult to buy plants, so the family used clippings to fill out the garden."
Informative,"Earlier in the day, a top aide to Abbas, Saeb Erekat, told The Associated Press that Abbas rejected Clinton's request that he allow Israel's government to complete building 3,000 units in Jewish settlements in the West Bank, and to allow the government to construct public buildings and continue construction in east Jerusalem - a territory Palestinians hope will be their future capital."
Informative,"""Earlier,"" said one villager, ""we used to fear the tigers and wild boars. Now we fear the guns of the Naxalites and the police."""
Informative,"Earlier, the IEC announced that it planned to open 6,322 polling stations for the run-off - more than it did during the first round."
Informative,"Earlier this year, the Obama administration called for the Israelis to halt building more housing on land the Palestinians regard as theirs."
Informative,"Early indications were that the injured had spinal injuries, broken legs, ankles, a possible dislocated shoulder, trauma and cuts."
Informative,"Economic growth in China accelerated to 8.9 percent last quarter, fueled by government stimulus spending and more than $1 trillion of new bank lending."
Informative,"Economies across Asia are ""rebounding fast"" from the global crisis, helped by fiscal support that the region's governments must maintain amid weak global export demand, the International Monetary Fund said on Oct. 29."
Informative,"Eddie House, who came off the bench and scored 22 points on 9-of-13 shooting, drilled four of his seven threes in the second."
Informative,"""Eddie's a great shooter,"" said Marquis Daniels, who finished with four assists and scored all 7 of his points in that second quarter."
Informative,"Ed Hubbard, co-founder and CEO of the Witch School, said he underestimated the difficulty faced by the school when it relocated to Rossville, about 125 miles south of Chicago near the Indiana border."
Informative,Effendi laughed as he recalled having to tell his teacher that he lost his homework in the river.
Informative,"Efforts are under way to open peace negotiations, but as yet remain stalemated."
Informative,"""Either we are sitting here, or we are on patrol. There is nothing else."""
Informative,Elders in the coastal area said the pirates might have been worried that they were vulnerable to attack if they continued to keep the Chandlers aboard the hijacked freighter bobbing off Xarardheere.
Informative,"Emanuel continues to believe that oceans in a warming world will produce stronger storms, because the trend over the last 30 years in the Western North Pacific and Atlantic basins is upward."
Informative,Emanuel said the Western North Pacific and Atlantic hurricane basins have the best data on storms during the last 30 years because they include aircraft data.
Informative,"Employers in the U.S. kept cutting jobs in October and manufacturing picked up, pointing to an uneven economic recovery that will take time to encourage hiring, economists said before reports this week."
Informative,Endorsements were cited repeatedly by backers of former city attorney Gene Locke.
Informative,"English teacher Jessica Price, who knows the victim and most of the arrested suspects, said the girl has helped in conflict-mediation groups."
Informative,Entrance to their salmon-colored building is via a high-security electric gate.
Informative,"Environmentalists warn once it takes hold, it becomes a losing battle to reverse landslides and degradation."
Informative,Environment Commissioner Ebgebike says funding is critical and appeals for international help to deal with the situation.
Informative,Erekat said Clinton had told Abbas that the settlements were not legitimate but said the United States was unable to persuade Netanyahu's government to commit to an outright freeze.
Informative,"Erekat said that Abbas wants negotiations to pick up where they left off with former Prime Minister Ehud Olmert, and that the Israelis do not."
Informative,Essentially the ACE Index approximates the total energy of a storm from its intensity and duration.
Informative,"Evan Harris, another Liberal Democrat member of the science and technology select committee, said: ""The political sacking of a distinguished scientist, who is the chair of an independent scientific advisory committee, for the 'crime' of having different views than the secretary of state, is an enormous blow to the credibility of the government's approach to scientific evidence."""
Informative,"Even as drought kills off Yemen's crops, farmers in villages like this one are turning increasingly to a thirsty plant called qat, the leaves of which are chewed every day by most Yemeni men (and some women) for their mild narcotic effect."
Informative,"Even during the high periods of sectarian violence, he said, he and his family entertained guests in the garden."
Informative,"""Even if only a few simple words, it would show we have the courage to talk about it and not avoid the facts."""
Informative,"""Even if they had a 100 percent yes vote at the rest of the plants, it still wouldn't pass."""
Informative,"Even in parts of Sana, the poor cluster to gather runoff from privately owned local wells as their wealthier neighbors pay the equivalent of $10 for a 3,000 liter-truckload of water."
Informative,Even the neighborhood ex-cons who lounge against their cars all afternoon at the back end of campus are outraged.
Informative,"Even though they have never met, she considers a woman from Michigan a second mother and a woman in Arizona to be her online protector - searching out leads as well as scam artists."
Informative,"Eventually, at 5pm yesterday, a spokesman for Mr Blair issued a carefully worded statement that said: 'Tesco is a great British company."
Informative,"Eventually, more schools were built, cutting travel times."
Informative,Even wastewater treatment has proved difficult in Yemen.
Informative,"Even when car bombs were exploding in the neighborhood, his mother insisted on watering the garden daily."
Informative,"Even when the new bridge is finished, Fandi said, he isn't sure he wants to give up his daily row."
Informative,"Ever since his arrest, Rhonnie has struggled with what to say to the boy she has grown up with."
Informative,"""Every day, I wake up and think, am I going to hear her voice today,"" Hebert said."
Informative,"Every editor has the right to carry out his job as per his understanding unhindered by extraneous pressure, he told TOI."
Informative,"Every Halloween we line up at haunted houses so that zombies, vampires and various other undead can scare us out of our wits."
Informative,"Everywhere shoppers turn in the Raynham store, they are reminded of value with big new signs emblazoned with ""Unbeatable Prices."""
Informative,"""Every year we have to drill deeper and deeper to get water."""
Informative,Exemptions for political leaders and a delayed start date of 2011 were among the many compromises forged during the most heated political fight of the year in Springfield.
Informative,Exiled Tibetan spiritual leader the Dalai Lama has criticized Chinese leaders for misleading the world about the situation in Tibet.
Informative,Experience ranked high among those who favored City Controller Annise Parker.
Informative,"Experts claim his collection has more cars with a price in excess of $1 million than any other, and that if the entire inventory was put up for auction it would depress the market by at least 40 percent."
Informative,"""Exports are still on the decline, but Korea will see an increase in coming months,"" said Lee Sang Jae, an economist at Hyundai Securities Co. in Seoul."
Informative,"Exports to China, the biggest buyer of South Korean goods, gained 3.4 percent in the first 20 days of October."
Informative,"Exports to the U.S. slid 37.4 percent, the ministry said."
Informative,"Exports, which make up more than half of the economy, may start to rebound in November, the government said last month."
Informative,"""External demand will provide an additional source of support for growth in the months ahead,"" he said, adding that the government may ""start tightening policy from early 2010."""
Uninformative,EXTRA!
Informative,"Factory production gained at the fastest pace in three months in September, manufacturers' confidence stayed near a two-year high and consumer confidence climbed to a seven-year high, earlier reports showed."
Informative,Families of the missing said they were grateful rescuers weren't giving up.
Informative,"Fandi and Alfan, brothers with one name each, live in a remote village in the heart of the Sumatran jungle, at once a protected and dangerous place to be a child."
Informative,Farmers depended mostly on rainwater collection and shallow wells.
Informative,"Federal health officials said 33 people had died of the flu across the country, although there was conflicting information about which type of the virus was to blame."
Informative,"Federal Reserve policy makers, meeting this week, will probably debate whether the lack of jobs merits maintaining interest rates low for a long time, or if excess stimulus risks kindling inflation."
Informative,"Fed policy makers, led by Chairman Ben S. Bernanke, meet Nov. 3-4 in Washington and may repeat their pledge to keep interest rates low for an ""extended period."""
Informative,"Few could feel the urgency as much as 14-year-old Rhonnie Schwartz, a Richmond High freshman."
Informative,"Few were aware of the bickering that has marked the race in recent days, particularly accusations traded between Locke and Brown supporters over how they have courted African-American voters."
Informative,Figures from the 2007 National Drug Strategy Household Survey showed that cocaine use doubled between 2004 and 2007 and the new CMC figures look set to reveal further rises.
Informative,Figures released last week show that children under the age of 15 account for a fifth of all swine flu hospital admissions.
Informative,"Finally a search of the land around the house turned up yet another grave, containing a sixth body."
Informative,"Finance Minister Yoon Jeung Hyun said full-year economic growth is possible in 2009, compared with a previous government forecast of a 1.5 percent contraction."
Informative,"Financial markets are pricing in a steady increase in the cash rate, currently 3.25 per cent, to around 4.50 per cent by next June, and onwards to between 5 and 5.5 per cent by December, 2010."
Informative,"Fiona Fox, director of the Science Media Centre, called for independent scientific advisers ""to be allowed to communicate their evidence and findings to the media and the public as far away from the political process as humanly possible."""
Informative,"First-home buyers, lured by government stimulus but caught by rising rates, pay freezes and reduced working hours, are predicted to account for nearly half the default increase."
Informative,"""First-home buyers will be particularly hard hit because so many were caught up in the hype of the stimulus and talk of a rapidly rising market and didn't give enough thought to how they would cope with rising rates,"" he says."
Informative,Fishing should be avoided anywhere there is a visible sheen.
Informative,"Fitzgerald said the United States imposed the travel curbs, and is considering the financial sanctions, to show that impunity in unacceptable in Guinea and elsewhere."
Informative,"Fitzgerald was sent to the Guinean capital days after what he described as the ""massacre"" of opposition demonstrators to express U.S. outrage over the killings and reported sexual assaults by troops, and to demand that Captain Camara adhere to a pledge made early this year to step down in favor of an elected government."
Informative,"Five different burial methods were used on the victims, and the bodies were in varying states of decomposition, Miller said, making it difficult to determine the ages of the victims."
Informative,"Five female victims were found inside the home, and another female body was discovered outside the home, said Cuyahoga County Coroner Frank Miller III."
Informative,"Flanking it were bushes shaped like corkscrews, flowers and straw baskets, which he said took him four or five months to create using wire frames to form the shapes."
Informative,"Flights at Manila's international airport were canceled and about 8,000 ferry passengers were stranded as the coast guard grounded all vessels."
Informative,"Following decisions to reject its advice on cannabis and ecstasy, there have been questions about its purpose."
Informative,"For all the sensitivity training going on, this is still a rough city - and there is rough justice."
Informative,"""For a lot of people in politics, if they aren't in public office they don't think they're anything,"" Burton said."
Informative,"Ford fell 30 cents, or 4.1 percent, to $7 on Oct. 30 in New York Stock Exchange composite trading."
Informative,"Ford has said it needs the concessions to ensure that it doesn't have a labor-cost disadvantage against GM and Chrysler, which unloaded debt, closed plants and eliminated dealership contracts in their court restructurings."
Informative,"Ford may punish the UAW by making promised products in Canada or Mexico instead of the U.S., said David Cole, chairman of the Center for Automotive Research in Ann Arbor, Michigan."
Informative,"Ford Motor Co. hourly employees have rejected contract concessions the automaker said it needed to remain competitive with its U.S. rivals, said two people familiar with the outcome of the voting."
Informative,"Ford, the only major U.S. automaker to avoid bankruptcy this year, sought concessions similar to those secured by General Motors Co. and Chrysler Group LLC."
Informative,"Foreign Office head of news Carl Newns also rejected it, telling Mr Brown he wanted to stay with current boss David Miliband."
Uninformative,"Forest children, they say, must grow up fast."
Informative,"For example, a Massachusetts family of three earning $45,775 a year can purchase subsidized insurance through the Commonwealth Care program for $154 a month."
Informative,"For example, he recently floated the idea of a tax on sugary drinks, but hasn't submitted legislation - though he's likely to now."
Informative,"For example, he said tax justice groups criticize the state for not obtaining companies' beneficial ownership information when they incorporate in the state."
Informative,"For example, he wonders whether the officials who submitted the winning bid to host the 2008 Games had been sincere in their representations during the bidding process that China would improve its human rights situation."
Informative,"For Falah Mohammed, standing beneath a massive topiary arch by his driveway, the improved security in Baghdad has brought its own problem: he cannot find a gardener with enough time to take care of his trees."
Informative,"For India, the widening Maoist insurgency is a moment of reckoning for the country's democracy and has ignited a sharp debate about where it has failed."
Informative,"For its part, the Coast Guard and coordinating agencies said they responded with ""surgical"" precision, limiting the oil impact to about 6 miles of shoreline."
Informative,"For Mazen Hammad, who works for the Ministry of Health, his garden was a refuge from the violence."
Informative,Former leading East German dissident Baerbel Bohley said Germany cannot afford to halt the project.
Informative,"For millenniums, Yemen preserved traditions of careful water use."
Informative,"""For that reason transparency is very essential. That is lacking in all these authoritarian governments. Particularly in the People's Republic of China."""
Informative,"For the first time in almost two months, the Fighting Irish could relax in the fourth quarter."
Informative,"For the first time, the bank will announce its latest decision on rates on Melbourne Cup day at 2.30pm - half an hour before the race on which Australians bet more than $100 million each year, The Sunday Telegraph reports."
Informative,"For them, the Kampar River is their local street corner, a place where they play and test themselves, becoming excellent swimmers."
Informative,"For the North Atlantic basin this season, the ACE Index is 45 percent of its normal level, the weakest season since 1997."
Informative,"For the smallest boys who must negotiate the river each day, the snake was like a monster from the deep."
Informative,"For watchdogs of the bay's ecosystem and wildlife, the incident brought back memories of the disastrous 2007 Cosco Busan incident, which dumped nearly 60,000 gallons of bunker fuel, killing thousands of birds and fouling sensitive shorelines."
Informative,"For years, the central government regarded them as mostly a nuisance."
Informative,"Four others were missing in floodwaters in other towns, regional police chief Perfecto Palad said."
Informative,Four other Uighurs were moved to Bermuda in June.
Informative,"Four other voters said they put a premium on Parker's financial chops, especially given the challenges the city may face in the next year."
Uninformative,"""Freee mah nigga ... F- dem snitches,"" reads one of the more prominent comments posted by a friend."
Informative,"Freeman, 33, did intelligence work for the Air Force and later helped U.S. Rep. John Culberson on veterans issues."
Informative,Friend and personal attorney Dale Jefferson went to a couple of auctions with him and marveled at the joy he showed when the cars started rolling across the block.
Informative,Friends said it was usual for him to work late into the night.
Informative,"From here, the Maoists recruited and trained disgruntled tribal villagers and slowly spread out."
Informative,"From the first moments he arrived in Washington on the day after his Sept. 24 appointment, Kirk has remained deferential to his former boss."
Informative,"From there, he went to Kennedy's former office with its expansive view of the Capitol, to prepare for the move to his own more modest digs on the first floor."
Informative,"From the top of the key and from the wing, Pierce let the 3-pointers fly, drilling all five he took in the third quarter."
Informative,"Fueled by street-macho bravado and inspired by sexual initiations required to get into some local gangs, they began the attack, investigators say."
Informative,"Further complicating the picture, the current Massachusetts waiver expires in 2011, two years before much of the new federal law would take effect, so it would have to be renegotiated during an awkward interim period."
Informative,"Gardens remain one of the few flourishes of public ornament on Baghdad's otherwise brown streets, defiant displays of foliage amid concrete blast walls and security checkpoints."
Informative,"Geithner told NBC's ""Meet the Press"" that bringing back jobs and the confidence of investors will be the real test of recovery."
Informative,"General Administration spokesman Steve Valandra said that by allowing the displays outside, the state is simply trying to accommodate free speech while maintaining some decorum."
Informative,General Jones's office declined to say whether Ashcroft was present at Hague's meeting.
Informative,"Generally on the soapy ""Gossip Girl,"" the teens are hard to classify in moral terms, as each seems to pass in and out of good and bad behavior in every episode."
Informative,"Generally speaking, all of the congressional proposals follow the broad outlines of the Massachusetts system - people who don't get insurance through work could turn to an ""exchange,"" modeled on the Massachusetts Connector, to buy coverage; depending on income, they could qualify for government-subsidized insurance."
Informative,"Generationally, Sally Draper will grow up to be a baby boomer."
Informative,"George Osborne, the shadow chancellor, laid out a detailed ""austerity package"" at the Conservative conference last month with 23 billion of cuts to Whitehall spending, quangos and public sector pay."
Informative,"George Ranney, co-chairman for the reform coalition CHANGE Illinois!, told lawmakers his group agreed to support the new proposal as a ""building block"" for future changes."
Informative,GORDON BROWN is planning a final public spending spree to help pull the economy out of recession and put pressure on the Conservatives over their plans for deep cuts.
Informative,Gordon Brown is secretly backing David Miliband to be the European Union's foreign affairs chief - clearing the way for one of his prot駩s to be Labour's next leader.
Informative,Government advisers are preparing for the mass vaccination of schoolchildren to stop the spread of swine flu.
Informative,"Grant was appointed to the seat early this year after the death of her father, Bill Grant, a longtime legislator and a key member of the House Democrats' leadership team."
Informative,"Growth in Asia including Japan, Australia and New Zealand will probably accelerate to 5.8 percent next year from 2.8 percent this year, it said."
Informative,Guest Alan Rorke said it was a mad rush to help all the injured.
Informative,Hague made him party treasurer and secured him a life peerage in 2000.
Informative,Hague's visit to Washington last month was described in one Tory-supporting newspaper as the most comprehensive US visit by a shadow foreign secretary since Labour came to power in 1997.
Informative,Hamas' control over Gaza is another main stumbling block to peace efforts.
Informative,Hamas has long preached that Abbas' moderation doesn't pay and that only armed struggle will produce a Palestinian state.
Informative,"Hamas spokesman Sami Abu Zuhri said the U.S. could not effectively engage in peacemaking while ignoring Hamas, and said Clinton's visit was ""destined to fail."""
Informative,Hastings noted Chaudhry's disability from his military service as well as his service as a volunteer firefighter in Yakima and volunteer work with the Red Cross youth program.
